,Upregulated,Downregulated
900,Hif1a,B4galnt1
901,Hspd1,Mtpn
902,Hspa1b,Gja4
903,Hspa1a,Gclm
904,Hsp90aa1,Glud1
905,Ids,Gnl1
906,Ier5,Gnb2l1
907,Ifnar2,Gpc4
908,Ifngr1,Gpi1
909,Il18bp,Grik5
910,Ikbkb,Gss
911,Il16,Gtl3
912,Il1a,H1f0
913,Il6ra,Slc39a7
914,Il6st,H3f3a
915,Invs,Hars
916,Cd47,Hcfc1
917,Itpr2,Hdac2
918,Jun,Hdc
919,Uhmk1,Hdgfrp2
920,Klf4,Hells
921,Mafb,Hint1
922,Lamp2,Hmgn1
923,Laptm5,Hmgb2
924,Lcp2,Hmgcr
925,Lipe,Hmgcs2
926,Psmb8,Hn1
927,Ly6a,Hsd17b4
928,Ly86,Hsf2
929,Lyst,Hspg2
930,M6pr,Ndst1
931,Man1a2,Id3
932,Man2b1,Igfbp2
933,Matk,Igfbp3
934,Mid1,Eif3e
935,Mllt10,Itgal
936,Mpeg1,Kif2a
937,Cited2,Kif3a
938,Msn,Kif3c
939,Myd88,Klc1
940,Naip5,Lamb1
941,Naip6,Lamb2
942,Ncf1,Mycl1
943,Ncf2,Lpl
944,Nck1,Lta4h
945,Nfatc3,Ltbp3
946,Nfe2l2,Ltf
947,Nfkbia,Alad
948,Nsmaf,Smad4
949,P2rx4,Mapkapk2
950,P2rx7,Mcm3
951,P4ha1,Mcm2
952,Pde3b,Mcm4
953,Pdgfb,Mcm5
954,Abcb1b,Mcm6
955,Abcb1a,Mcm7
956,Pik3c2a,Anapc1
957,Pikfyve,Mest
958,Lilrb3,Mmp14
959,Prkca,Mmp15
960,Prkcd,Mnat1
961,Papola,Mdh2
962,Plod1,Mras
963,Lgals3bp,Mrc1
964,Srgn,Msh2
965,Prkdc,Mt2
966,Eif2ak2,Mtap1b
967,Pros1,Mtf1
968,Lgmn,Mthfd2
969,Psap,Gadd45b
970,Ptgs2,Nap1l4
971,Ptpn1,Nedd8
972,Ptpn18,Ngp
973,Ptpre,Nid2
974,Rab20,Map4k4
975,Rad51l3,Nipsnap1
976,Ranbp2,Nme1
977,Rbl1,Nmt2
978,Rbl2,Notch3
979,Rfc1,Npdc1
980,Rlim,Npm1
981,Dhrs3,Ctnnd2
982,Uimc1,Nsg2
