,gene,direction,valence
6527,Ucp2,UP,1.998542792664593
5729,Sqrdl,UP,1.99785155268136
6370,Tspan14,UP,1.9938855220773581
6089,Tlr13,UP,1.9883841355267973
5669,Socs3,UP,1.9870643214653543
5790,Stambpl1,UP,1.9839966816389705
5419,Siglece,UP,1.981839872195897
2329,Fmo5,UP,1.9745911903131672
718,Asph,UP,1.966886790825961
3110,Kcnk13,UP,1.9657879493824317
4117,Oma1,UP,1.9645597005000253
1149,Cd48,UP,1.960228930802719
2274,Fgd2,UP,1.9585117633292866
5372,Sgce,UP,1.9550278770802278
3834,Naip5,UP,1.9534573960114225
