,pvals,direction,sig,logdiff
4930486L24Rik,0.0010329929738413415,UP,-4.417378191369565,1.5465826158200893
Vps33b,0.03205473781133539,DOWN,2.4533499914590036,-1.076673185065606
Fhad1,0.037468026695951555,UP,-2.3652028978400015,0.9443461654081401
Dennd2c,0.04584922600340017,DOWN,2.2505058035309764,-0.7062437439847562
Med12l,0.025165770768920535,DOWN,2.5893854975628208,-0.8230589120295199
Gmpr2,0.01809463747365184,DOWN,2.774075106085425,-0.5838418418101124
Sh3pxd2b,0.020433537047759177,UP,-2.706079808074392,0.9926241572994888
Tarm1,0.031199620645251003,UP,-2.468586783115745,3.9770789040018855
Dmrt3,0.04857931809838551,UP,-2.217476781318571,1.5218848764885702
Cndp1,0.018634068195103135,UP,-2.7576482965522446,1.1441061119145206
Slc41a2,0.008056630568232715,UP,-3.2271029438699417,1.3823216481374514
Xpnpep3,0.006366503030926423,DOWN,3.3597681092796834,-1.2506372573220563
Mtap7d3,0.011865417398509992,UP,-3.0100212444115306,1.4331409550921304
Amigo3,0.042984386962867945,UP,-2.287257907369649,0.7564078173495047
Synpo,0.00036878531066573045,UP,-5.055659388072148,2.308208945977662
Tsr1,0.017322134009367114,UP,-2.7984692289914532,0.6990967788923086
Pik3r5,0.02918295035792011,UP,-2.5062002199042013,0.7415755430063223
Zfp595,0.040696914213129536,DOWN,2.318336113920101,-0.550414552853531
Zfp947,0.006874630748274489,DOWN,3.3164338489386798,-2.430332847761168
Pdrg1,0.039828371699362784,DOWN,2.3305794803082116,-0.47680173165192064
Zfp120,0.0007457007119512743,DOWN,4.615601682757856,-0.7405685245230538
Myo1e,0.01185533993725472,UP,-3.0104967032154963,0.9228002464166193
Ube2q2,0.04554026143361811,DOWN,2.2543616929500225,-0.756923931674456
Trim65,0.026659257084630565,DOWN,2.557029922129446,-1.3274778713465978
A530064D06Rik,0.002160770962283144,UP,-3.979469557972521,2.718743502976125
Ano4,0.027127335243115516,UP,-2.547255263011731,1.4829628847389993
Tiparp,0.002387991639367073,UP,-3.921179510507933,1.1008226435968615
Abtb2,0.003848765257193003,UP,-3.6458157062588907,2.9167368415257644
Zscan29,0.03437882786012447,DOWN,2.4138577640183274,-0.6083905319931745
Retnlg,0.00019814123715807566,UP,-5.458936421268469,2.6039145390680476
Gpr141,0.04387576295243176,UP,-2.275576700337558,2.1228412541525126
Optn,0.0012390487700202808,UP,-4.308107438968626,1.2640306447602179
Fn3krp,0.01676500321339122,DOWN,2.8167450969785275,-0.7768259348904009
Hist2h2be,0.005276481523541338,DOWN,3.4660603595228627,-1.2409055226707848
Nanos1,0.006226302431369332,DOWN,3.372347915417134,-1.506065651178717
Zfp334,0.028231901956222927,UP,-2.5248300306828106,0.9218064542838879
Commd8,0.0002735274615951274,DOWN,5.247764209631907,-0.8649266880956998
Tagln2,0.04442094289074187,UP,-2.268544186917697,1.1053801360136684
Hist3h2a,0.00995252361158741,DOWN,3.108474009453382,-1.4283403749321555
Commd10,0.04142418569796543,DOWN,2.3082765330198436,-0.6939784084075026
Sik2,0.02971784559113149,DOWN,2.4959818233104705,-0.8211600265311895
Luzp2,0.0382893729399644,DOWN,2.3529212780719027,-4.031623874928484
Timd4,0.029668924000205127,UP,-2.4969088912038595,2.5526986984947997
Zfp324,0.04080133629275037,DOWN,2.31688114577443,-1.200243833267887
Pde12,0.020631711055648396,UP,-2.7006786347510197,1.0616603277155658
Gimap9,0.020395364601736868,DOWN,2.707126150933349,-0.728653355850747
Mgat4a,0.013814976311364198,DOWN,2.924936074683558,-0.5667183761834386
Slc41a1,0.021748408286603356,UP,-2.671172718886402,0.6673418335338619
Pyhin1,0.005572911373673343,UP,-3.4350741694082503,1.7549017050300189
