Gene,F_P60_LPS 1,F_P60_LPS 2,F_P60_LPS 4,F_P60_LPS 5,F_P60_LPS 6,F_P60_Sal 1,F_P60_Sal 2,F_P60_Sal 3,F_P60_Sal 4,F_P60_Sal 5,F_P60_Sal 7,F_P60_LPS 3,F_P60_Sal 6
Sult1e1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubd,4,0,0,0,2,0,0,0,0,0,0,3,0
Map2k2,30,20,64,44,62,117,47,114,27,23,34,38,12
Glrx3,19,40,14,34,32,70,26,59,10,13,34,18,34
Tor3a,112,75,81,95,160,196,70,165,48,65,65,63,47
Arpc1b,74,40,167,120,164,233,122,162,51,39,40,91,40
C1ra,17,13,2,9,15,14,1,17,1,0,14,10,2
Nono,99,78,63,148,107,289,81,252,87,86,123,67,83
Ranbp17,1,6,3,3,5,17,0,5,2,0,8,6,1
Cndp2,174,82,157,251,329,515,161,415,121,142,139,139,114
Cwc15,58,63,34,86,87,192,56,153,53,61,71,59,76
Ethe1,6,5,2,7,7,18,3,21,8,4,9,5,14
Cxcl16,129,72,157,244,240,420,97,237,96,100,54,133,59
Cml1,4,13,3,11,11,21,4,30,4,1,14,5,14
Znrd1,48,19,24,50,52,94,39,79,31,32,32,18,47
Fam89b,13,5,36,16,27,57,20,68,16,18,14,27,14
Mrpl4,7,8,14,13,27,32,7,22,7,8,13,17,17
Grina,113,88,227,203,179,441,166,393,90,70,118,166,56
Ndufb9,54,64,47,55,75,125,46,102,31,22,52,26,121
Dusp12,32,14,16,26,33,82,19,46,27,15,16,20,23
Nit2,19,10,13,25,23,56,11,41,11,22,14,11,15
Dmap1,9,4,11,10,21,63,19,36,16,10,22,7,14
Atp6v1g2,7,2,7,6,4,8,5,6,0,1,6,1,1
Ctrl,1,0,0,1,1,2,0,0,1,0,2,3,0
Klf15,5,4,12,21,9,7,2,10,2,0,11,9,3
Chia,7,7,3,3,1,21,4,10,4,0,4,3,7
Pla2g12a,15,30,10,16,20,38,18,41,9,8,16,19,35
2310008H09Rik,73,30,31,40,54,152,44,98,48,33,66,44,21
Ppp1r7,51,29,55,62,45,185,49,125,50,52,62,54,32
Ndufa7,26,22,39,42,49,65,27,62,15,9,28,24,107
Dctpp1,7,9,9,9,29,6,12,19,3,6,4,8,20
Pbk,2,2,0,2,4,9,2,13,2,6,2,1,6
Anp32e,149,136,104,202,191,422,128,306,108,81,166,118,140
Usmg5,4,9,4,7,8,4,6,13,4,3,8,4,11
Slc30a7,66,71,69,71,70,192,55,161,68,57,80,67,70
2500003M10Rik,201,116,119,201,241,569,123,408,127,152,165,136,125
Pgpep1,18,19,41,37,33,84,26,71,16,9,33,25,40
Slc5a4b,0,0,0,0,0,0,0,0,0,0,0,0,0
2010106G01Rik,595,357,278,434,489,938,314,794,353,358,416,243,241
Cdc20,3,1,9,7,2,6,5,14,2,1,3,2,0
Ube2v1,4,3,8,13,11,27,4,17,3,6,7,3,1
Stoml2,17,15,27,30,32,61,20,53,19,19,23,21,24
Diablo,40,46,52,43,48,133,38,107,32,21,34,38,53
Ndnl2,20,12,11,19,19,60,20,51,13,13,17,7,9
Eef1d,36,35,74,54,86,105,52,149,39,36,50,35,78
Ccnh,38,44,11,47,36,100,32,96,34,24,41,23,50
Palmd,49,88,47,78,83,84,21,90,27,10,58,25,30
Ndufaf3,9,10,18,13,23,17,11,30,6,7,8,11,28
Sbds,72,41,83,81,91,188,75,130,39,47,59,44,37
Ypel1,2,4,2,2,5,17,3,7,3,5,5,6,6
Krt20,0,0,0,0,0,0,0,0,0,0,0,0,0
Pycard,50,41,56,70,75,207,82,201,78,117,60,53,124
Mrps34,9,4,11,5,18,43,17,27,3,3,7,10,16
Rnf128,44,12,28,34,37,88,25,50,32,28,16,26,12
Rhoj,25,37,41,49,76,28,6,34,10,5,18,40,20
Jam3,29,31,21,31,42,53,28,71,26,21,38,34,28
Tubb3,1,0,0,0,0,1,1,3,1,0,0,0,0
Sdha,227,310,267,337,332,736,251,601,181,195,314,198,362
Nuf2,4,0,2,0,2,19,5,14,3,5,0,1,8
Ceacam11,0,0,0,0,0,0,0,0,0,0,0,0,0
Mkrn2,17,9,12,18,24,60,26,44,13,14,18,19,5
Pus3,18,9,12,3,22,56,11,39,9,16,15,10,23
Ndc80,1,0,0,4,1,8,3,1,6,5,0,7,1
Fgf22,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubap1,79,52,77,129,126,325,88,273,89,68,110,80,38
Yipf5,65,84,64,76,65,219,69,190,57,71,107,78,99
Ndufa13,24,60,62,63,91,128,42,139,27,15,53,50,222
Nde1,45,43,47,66,50,132,34,147,44,39,53,41,71
Plekho1,181,60,289,316,383,727,300,617,188,275,187,276,100
Zkscan14,6,3,7,5,7,20,9,27,7,4,5,12,2
Peli1,234,128,106,226,228,608,142,410,150,165,168,180,82
Bmyc,6,1,10,2,5,22,7,21,7,4,6,7,5
Agtpbp1,21,29,18,27,33,96,30,101,30,30,38,48,35
Mrpl46,9,14,19,22,18,29,15,27,12,11,12,10,16
Prl8a9,0,0,0,0,0,0,0,0,0,0,0,0,0
2210010C04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilkap,28,27,29,47,46,107,30,79,39,15,44,26,45
Snap29,84,52,52,76,80,196,58,171,67,69,66,40,42
Zfp788,31,25,10,20,13,76,18,51,20,23,25,19,27
Cdh23,24,6,46,34,44,95,37,82,24,37,17,28,4
Pin1,14,20,44,17,35,42,15,46,5,8,24,10,26
Sdhb,55,52,71,90,97,176,55,164,47,63,65,32,115
Stard5,8,29,23,24,20,37,9,23,8,10,18,22,13
Samsn1,285,211,227,382,419,708,173,442,161,204,158,172,192
Rtp4,66,66,59,81,102,29,14,14,10,26,12,18,36
Wfdc1,3,7,14,8,18,6,10,21,10,13,11,13,22
Rprm,0,0,0,0,0,0,0,1,0,0,0,1,1
Mdp1,24,12,28,55,40,104,39,100,30,34,33,44,33
Myl12b,130,112,175,211,286,389,156,399,126,101,158,135,224
Mesdc2,81,72,75,88,111,204,96,209,66,70,122,63,111
Npc2,429,325,497,561,581,1281,471,1114,362,417,430,305,535
Pgam1,4,16,6,18,13,35,18,27,10,2,11,7,8
Hist1h2bc,28,54,43,54,67,197,60,148,49,41,80,42,78
Akirin1,115,67,91,153,153,328,72,252,80,89,112,76,79
Mum1,8,4,16,18,27,24,20,53,8,18,21,22,8
Tox4,245,92,168,290,281,590,170,484,142,209,161,185,55
