Gene,M_P60_LPS 2,M_P60_LPS 7,M_P60_Sal 5,M_P60_LPS 1,M_P60_LPS 3,M_P60_LPS 4,M_P60_LPS 5,M_P60_LPS 6,M_P60_Sal 1,M_P60_Sal 2,M_P60_Sal 3,M_P60_Sal 4
Gna15,53,94,325,56,34,48,66,134,221,653,144,224
Gnai1,6,12,49,26,9,21,7,8,73,40,74,90
Gnai3,187,285,395,186,280,246,176,252,529,459,283,356
Gnal,7,9,48,14,11,14,9,14,48,46,32,30
Gnao1,1,2,7,2,6,6,6,0,11,9,21,9
Gnaz,0,1,0,0,0,0,0,0,3,0,3,5
Gngt1,0,0,0,0,0,0,0,0,0,0,0,0
Gng3,3,7,14,7,2,3,1,4,17,16,8,9
Gng4,0,0,0,0,0,0,0,1,0,0,0,0
Gng5,13,8,20,10,6,2,16,6,29,21,23,22
Gng8,0,0,0,0,0,0,0,0,0,0,0,1
Gnmt,2,0,3,2,0,1,2,0,2,16,17,5
Gnpat,49,85,167,59,46,39,32,94,191,204,122,194
Gnrhr,0,1,0,0,0,0,0,0,0,0,0,0
Got1,35,53,132,53,48,59,47,97,176,141,186,181
Got2,15,35,95,19,12,27,16,23,79,91,130,102
Gp1ba,1,5,4,4,6,4,4,1,9,6,5,3
Pdpn,5,12,69,23,20,37,24,16,72,26,120,97
Emb,96,78,402,191,158,188,110,110,782,280,677,649
Gpaa1,12,32,63,23,19,19,30,30,55,145,56,67
Ednra,0,1,14,4,2,8,4,2,10,5,11,12
S1pr2,8,6,18,7,1,4,7,16,16,29,8,13
Lpar1,0,0,0,1,1,0,0,0,8,1,5,3
Gpr50,0,0,0,0,1,0,0,0,0,3,1,0
Nmur1,0,0,0,0,0,0,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0,0,0,0,0
Gpx5,0,0,0,0,0,0,0,0,0,0,0,0
Gsr,14,27,52,21,66,97,46,43,65,72,37,47
Grb10,3,11,86,19,20,24,19,11,98,47,118,83
Grb7,0,0,11,1,1,1,1,0,4,8,9,10
Aes,14,47,197,36,24,48,54,67,191,203,255,250
Grik1,0,0,0,0,0,0,0,0,0,0,0,0
Grin2c,1,6,0,0,0,1,0,2,4,2,0,0
Gsc,0,0,0,0,0,0,0,0,0,0,0,1
Gsg2,9,4,13,13,2,4,3,10,9,19,4,11
Gsta4,24,31,150,66,28,47,29,33,177,100,272,218
Gstm1,9,6,33,10,7,17,10,4,25,41,31,58
Gstm3,0,0,0,0,0,0,0,0,0,0,0,0
Gstm5,16,20,76,31,21,18,36,28,104,38,146,120
Gstt2,0,9,17,5,1,2,7,8,8,21,11,13
Gsto1,18,26,30,7,12,15,14,31,23,46,19,32
Gstz1,8,16,47,22,13,14,8,24,51,45,62,48
Gtf2h4,10,6,19,3,0,7,9,13,15,38,16,42
Gusb,172,312,510,182,161,129,140,275,388,707,289,390
Gypa,0,0,0,0,2,0,0,0,0,0,0,0
Gzma,1,5,9,7,0,5,15,7,5,5,7,5
Gzmc,2,16,3,4,9,4,1,14,0,2,4,2
Gzmd,0,0,0,0,0,0,0,0,0,0,0,0
Gzme,0,0,0,0,0,0,0,0,0,0,0,0
Gzmf,0,0,0,0,0,0,0,0,0,0,0,0
Gzmg,0,0,0,0,0,0,0,0,0,0,0,0
Hist1h1t,0,0,0,0,0,0,0,0,0,0,1,0
H2-Aa,86,234,427,103,51,151,122,419,305,529,248,377
H2-D1,342,770,748,321,369,552,673,789,849,1686,499,751
H2-Ea-ps,0,0,0,0,0,0,0,0,1,0,0,0
H2-Eb1,49,216,326,84,70,82,77,327,219,339,144,206
H2-Ke2,2,4,29,6,8,9,5,15,21,45,29,35
H2-DMa,27,69,158,36,24,22,68,85,107,241,104,126
H2-DMb1,30,48,108,36,20,33,32,80,79,228,76,99
H2-DMb2,5,9,8,5,1,1,1,10,4,22,7,7
H2-Ob,33,56,103,33,29,30,26,51,59,119,49,73
H2-Q10,1,4,1,0,0,5,1,0,2,0,0,0
H2-Q2,0,0,0,1,0,0,1,0,0,0,1,0
H2-Q7,6,13,10,8,16,11,37,11,8,32,3,5
H2-T10,1,8,3,3,1,9,8,3,4,10,0,10
H2-T22,24,42,51,35,28,37,36,38,61,85,59,68
H2-T23,63,91,192,56,38,55,65,139,136,419,116,177
H2-T9,24,42,51,35,28,37,36,38,61,85,59,68
Hal,0,0,0,0,0,0,0,0,0,0,0,0
Hand2,0,0,0,0,0,0,0,0,0,0,0,0
Hao1,0,0,0,0,0,0,0,0,0,0,0,0
Hap1,1,3,12,5,4,7,9,1,10,11,14,11
Hba-x,0,0,0,0,0,0,0,0,0,0,0,0
Hcn1,0,0,0,0,0,0,0,0,0,0,0,0
Hdac3,49,61,152,39,57,38,46,73,150,174,135,177
Htt,117,227,305,113,153,153,136,167,259,411,241,249
Hbegf,33,104,46,48,56,69,77,44,88,117,42,56
Hemt1,0,0,0,0,0,0,0,0,0,0,0,0
Herc2,625,837,1496,497,416,316,357,819,1196,2083,819,902
Hes5,0,0,1,0,0,0,0,0,0,0,0,0
Hesx1,0,0,0,0,0,0,0,0,0,0,0,0
Hexa,471,630,1393,418,325,348,353,731,1043,2017,814,1108
Hexb,8504,9500,19843,7492,6672,5752,5216,10419,15396,26260,10212,15882
Hey1,4,4,22,8,2,2,5,5,28,33,25,31
Hfe,118,191,263,123,101,77,84,144,204,354,187,252
Foxd3,0,0,0,0,0,0,0,0,0,0,0,0
Foxf1a,2,0,2,0,1,1,0,0,3,0,3,5
Hgf,10,7,10,9,17,7,2,5,5,8,1,1
Hif1a,354,568,550,318,564,712,448,488,722,701,488,553
Hipk1,353,475,770,348,331,363,301,421,760,845,677,566
Hira,43,49,93,41,27,23,34,37,86,144,71,72
H2afx,2,3,7,4,2,2,5,2,10,20,11,11
Hivep2,62,163,75,90,179,233,226,92,106,116,84,53
Hmgb1,27,33,63,40,21,16,16,27,67,83,40,56
Hmox1,639,953,738,674,542,659,779,1195,1176,1705,410,763
Nr4a1,211,775,791,274,213,293,434,1163,1087,2559,535,848
Hmx1,0,0,0,0,0,0,0,0,0,0,0,0
Foxa2,0,0,0,0,0,0,0,0,0,0,0,0
Hoxa11,0,0,0,0,0,0,0,0,0,0,0,0
Hoxa2,0,0,0,0,0,0,0,0,0,0,0,0
Hoxa3,0,0,0,0,0,0,0,0,0,0,0,0
Hoxa5,0,0,0,0,0,0,0,0,0,0,0,0
Hoxa6,0,0,0,0,0,0,0,0,0,0,0,0
Hoxa7,0,0,0,0,0,0,0,0,0,0,0,0
Hoxa9,0,0,0,0,0,0,0,0,0,0,0,0
Hoxb4,0,0,1,0,1,1,4,0,0,1,0,1
Hoxb7,0,0,0,0,0,0,0,0,0,0,0,0
Hoxb8,0,0,0,0,0,0,0,0,0,0,0,0
Hoxc10,0,0,0,0,0,0,0,0,0,0,0,0
Hoxc12,0,0,0,0,0,0,0,0,0,0,0,0
Hoxc13,0,0,0,0,0,0,0,0,0,0,0,0
Hoxc6,0,0,0,0,0,0,0,0,0,0,0,0
Hoxc8,0,0,0,0,0,0,0,0,0,0,0,0
Hoxd3,0,0,0,0,0,0,0,0,0,0,0,0
Hoxd4,0,0,1,0,0,0,0,0,0,0,0,0
Agfg1,78,80,183,68,90,98,71,102,179,204,116,162
Hrc,1,0,4,1,1,0,1,1,1,1,1,2
Hs3st1,3,10,43,15,15,21,24,8,49,34,47,61
Hsd17b7,2,1,11,5,2,6,8,9,23,19,24,21
Hspd1,128,120,292,144,247,147,186,212,384,311,169,325
Hspa1b,596,362,1378,604,992,871,828,649,1921,3677,757,1550
Hspa1a,700,455,1547,710,1021,758,897,749,1940,3664,817,1636
Hsp90aa1,510,483,687,476,641,507,448,711,1514,1129,513,723
Hspa9,179,275,494,146,197,297,204,274,633,476,529,481
Htr1b,0,0,1,0,0,0,0,0,3,2,0,0
Htr5b,0,0,0,1,0,0,0,0,0,0,0,0
Slc6a4,0,0,0,0,0,0,0,0,0,0,0,0
Elavl1,82,92,210,74,81,116,59,82,186,253,167,189
Elavl3,0,2,1,1,0,2,1,0,14,1,1,2
Hyal2,4,2,23,5,1,4,5,6,19,57,27,40
Iapp,0,0,0,0,0,0,0,0,1,0,0,0
Ica1,4,5,20,4,3,3,3,7,19,16,12,14
Icam1,733,1932,625,731,1110,1813,2053,1298,1148,1993,384,500
Icam2,4,14,48,6,6,8,8,6,38,54,19,54
Id1,13,21,56,17,5,28,20,16,98,125,66,100
Id2,595,945,511,418,520,639,730,965,1002,1250,341,440
Idh1,38,55,188,54,39,36,41,49,169,147,210,170
Ids,186,235,816,263,235,254,233,293,900,691,962,858
Ier2,96,233,296,104,68,119,223,229,206,1233,216,282
Ier5,577,1027,1365,550,453,583,555,974,1268,2586,749,1178
Ifit3,311,323,34,329,300,236,271,202,25,26,14,26
Ifna2,0,0,0,0,0,0,0,0,0,0,0,0
Ifna4,0,0,0,0,0,0,0,0,0,0,0,0
Ifna5,0,0,0,0,0,0,0,0,0,0,0,0
Ifna9,0,0,0,0,0,0,0,0,0,0,0,0
Ifnar1,127,222,329,117,153,160,148,186,346,403,198,278
Ifnar2,105,167,326,97,113,147,119,198,310,471,195,343
Ifnb1,1,15,6,2,1,11,2,1,3,0,1,4
Ifngr1,462,583,1216,529,390,352,344,657,834,1656,649,997
Igf1r,53,138,353,135,82,72,122,101,332,313,336,320
Igf2,208,372,2095,615,325,461,500,591,2907,1052,4388,2941
Igf2r,32,40,209,74,39,69,79,46,240,103,411,236
Cyr61,20,26,133,31,22,66,37,50,239,170,148,246
Igfbp4,14,46,108,21,16,18,27,26,106,157,86,94
Igfbp5,3,36,71,19,1,12,25,8,78,66,122,73
Il18bp,5,13,17,14,5,18,5,13,13,30,10,16
Ihh,0,0,0,0,0,0,0,0,0,0,0,0
Ikbkb,71,121,187,83,64,104,83,140,180,357,138,211
Il11ra2,0,0,0,0,0,0,0,0,0,0,0,0
Il16,85,90,366,79,36,24,50,117,218,482,172,234
Il17a,0,0,0,0,0,0,0,0,0,0,0,0
Il18rap,7,3,5,5,11,20,12,5,2,3,5,0
Il1a,1610,2545,1824,884,3277,3444,2918,2210,3262,3793,935,1139
Il1r2,19,23,6,23,93,134,37,75,20,16,4,7
Il6ra,267,467,736,244,179,167,241,461,454,1226,371,479
Il6st,441,559,1169,379,445,472,405,494,914,1521,727,837
Inha,0,0,2,1,0,0,0,2,2,2,4,3
Inhbc,0,0,0,0,0,0,0,0,0,0,0,0
Insr,121,218,322,153,153,147,135,182,379,330,276,252
Invs,32,43,74,32,18,31,29,40,97,137,60,60
Irs1,14,18,41,18,14,25,33,13,50,16,55,45
Irs3,0,0,3,2,1,0,0,0,0,2,1,1
Irs4,0,0,0,0,0,0,0,0,0,0,0,0
Irx1,0,0,0,0,0,0,0,0,0,0,0,0
Irx2,0,0,0,0,0,0,0,0,0,0,0,0
Itga2b,2,2,6,2,0,0,3,0,5,6,3,8
Itga4,17,46,66,21,46,50,16,63,90,35,48,58
Itga5,82,294,119,63,212,340,393,172,235,296,66,87
Itgb1,396,485,1435,343,458,450,348,496,1132,1380,921,1100
Eif6,13,53,59,21,21,47,31,37,48,87,34,49
